Description,Price,Bedrooms,Bathrooms,Parking Spaces,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Community,City,Province,Postal Code
2 Bedrooms 1 Bathrooms Bungalow,215000.0,2,1,0,754.0,0.0,1943,Single Family,Residential Detached Single Family,Bungalow,11613 91 Street Nw,Alberta Avenue,Edmonton,Alberta,T5B 4A9
3 Bedrooms 1 Bathrooms Bungalow,359900.0,3,1,0,763.0,0.1,1950,Single Family,Residential Detached Single Family,Bungalow,10619 72 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 0Z8
4 Bedrooms 2 Bathrooms Bungalow,510000.0,4,2,0,1114.0,0.14,1951,Single Family,Residential Detached Single Family,Bungalow,11306 55 Street Nw,Highlands,Edmonton,Alberta,T5W 3P5
2 Bedrooms 2 Bathrooms Bungalow,445000.0,2,2,4,1012.0,0.0,1954,Single Family,Residential Detached Single Family,Bungalow,9144 142 Street Nw,Parkview,Edmonton,Alberta,T5R 0M7
3 Bedrooms 1 Bathrooms Bungalow,359900.0,3,1,0,1064.0,0.16,1954,Single Family,Residential Detached Single Family,Bungalow,9255 79 Street Nw,Holyrood,Edmonton,Alberta,T6C 2R6
4 Bedrooms 3 Bathrooms Bungalow,314999.0,4,3,0,1070.0,0.15,1975,Single Family,Residential Detached Single Family,Bungalow,13110 41a Street Nw,Sifton Park,Edmonton,Alberta,T5A 2T9
2 Bedrooms 2 Bathrooms Bungalow,309000.0,2,2,3,560.0,0.0,1955,Single Family,Residential Detached Single Family,Bungalow,10618 69 Avenue Nw,Allendale,Edmonton,Alberta,T6H 2C7
5 Bedrooms 2 Bathrooms Bungalow,389900.0,5,2,4,1141.0,0.16,1955,Single Family,Residential Detached Single Family,Bungalow,7508 95 Avenue Nw,Holyrood,Edmonton,Alberta,T6C 1X5
3 Bedrooms 2 Bathrooms Bungalow,299900.0,3,2,0,585.0,0.1,1949,Single Family,Residential Detached Single Family,Bungalow,9140 81 Avenue Nw,King Edward Park,Edmonton,Alberta,T6C 0X1
6 Bedrooms 4 Bathrooms Bungalow,675000.0,6,4,0,2219.0,0.16,1957,Single Family,Residential Detached Single Family,Bungalow,14313 90a Avenue Nw,Parkview,Edmonton,Alberta,T5R 4X7
4 Bedrooms 2 Bathrooms Bungalow,242500.0,4,2,0,1085.0,0.13,1962,Single Family,Residential Detached Single Family,Bungalow,13316 62 Street Nw,Belvedere,Edmonton,Alberta,T5A 0V6
3 Bedrooms 2 Bathrooms Bungalow,490000.0,3,2,0,1122.0,0.15,1955,Single Family,Residential Detached Single Family,Bungalow,9024 148 Street Nw,Parkview,Edmonton,Alberta,T5R 1A1
4 Bedrooms 2 Bathrooms Bungalow,349900.0,4,2,0,1044.0,0.14,1959,Single Family,Residential Detached Single Family,Bungalow,13319 131 Street Nw,Wellington,Edmonton,Alberta,T5L 1N8
5 Bedrooms 2 Bathrooms Bungalow,399900.0,5,2,5,1023.0,0.16,1959,Single Family,Residential Detached Single Family,Bungalow,15952 106 Avenue Nw,Britannia Youngstown,Edmonton,Alberta,T5P 0W7
3 Bedrooms 2 Bathrooms Bungalow,359900.0,3,2,0,1099.0,0.14,1967,Single Family,Residential Detached Single Family,Bungalow,14219 74 Street Nw Nw,Kildare,Edmonton,Alberta,T5C 0Y1
5 Bedrooms 2 Bathrooms Bungalow,358000.0,5,2,0,1107.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,8201 151 Street Nw Nw,Lynnwood,Edmonton,Alberta,T5R 1H5
3 Bedrooms 2 Bathrooms Bungalow,414900.0,3,2,0,1258.0,0.14,1954,Single Family,Residential Detached Single Family,Bungalow,8127 93a Avenue Nw,Holyrood,Edmonton,Alberta,T6C 1V4
2 Bedrooms 1 Bathrooms Bungalow,199900.0,2,1,3,734.0,0.09,1925,Single Family,Residential Detached Single Family,Bungalow,12217 91 Street Nw,Delton,Edmonton,Alberta,T5B 4C4
5 Bedrooms 2 Bathrooms Bungalow,400000.0,5,2,0,1087.0,0.14,1954,Single Family,Residential Detached Single Family,Bungalow,9543 87 Street W Nw,Strathearn,Edmonton,Alberta,T6C 3W9
5 Bedrooms 2 Bathrooms Bungalow,489000.0,5,2,4,1172.0,0.15,1961,Single Family,Residential Detached Single Family,Bungalow,5811 115 Street Nw,Lendrum Place,Edmonton,Alberta,T6H 3P6
4 Bedrooms 2 Bathrooms Bungalow,307900.0,4,2,0,1048.0,0.14,1958,Single Family,Residential Detached Single Family,Bungalow,10945 165 Street Nw,Mayfield,Edmonton,Alberta,T5P 3T8
3 Bedrooms 2 Bathrooms Bungalow,279000.0,3,2,0,804.0,0.0,1951,Single Family,Residential Detached Single Family,Bungalow,12418 95 Street Nw,Delton,Edmonton,Alberta,T5G 1N5
4 Bedrooms 2 Bathrooms Bungalow,284900.0,4,2,4,1065.0,0.0,1951,Single Family,Residential Detached Single Family,Bungalow,11842 58 Street Nw,Montrose,Edmonton,Alberta,T5W 3W7
3 Bedrooms 1 Bathrooms Bungalow,210000.0,3,1,0,827.0,0.14,1957,Single Family,Residential Detached Single Family,Bungalow,4218 117 Avenue Nw,Beverly Heights,Edmonton,Alberta,T5W 0Y4
3 Bedrooms 1 Bathrooms Bungalow,255000.0,3,1,0,1124.0,0.18,1949,Single Family,Residential Detached Single Family,Bungalow,12330 76 Street Nw,Elmwood Park,Edmonton,Alberta,T5B 2E4
4 Bedrooms 2 Bathrooms Bungalow,389900.0,4,2,0,806.0,0.0,1947,Single Family,Residential Detached Single Family,Bungalow,10512 79 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1R8
3 Bedrooms 2 Bathrooms Bungalow,368000.0,3,2,0,1252.0,0.12,1958,Single Family,Residential Detached Single Family,Bungalow,10555 40 Street Nw,Gold Bar,Edmonton,Alberta,T6A 1S9
5 Bedrooms 3 Bathrooms Bungalow,599900.0,5,3,0,1657.0,0.12,1985,Single Family,Residential Detached Single Family,Bungalow,10403 40 Avenue Nw,Duggan,Edmonton,Alberta,T6J 6L1
5 Bedrooms 2 Bathrooms Bungalow,321900.0,5,2,3,1186.0,0.11,1961,Single Family,Residential Detached Single Family,Bungalow,11210 97 Street Nw,Spruce Avenue,Edmonton,Alberta,T5G 1X1
1 Bedrooms 1 Bathrooms Bungalow,190000.0,1,1,0,630.0,0.13,1936,Single Family,Residential Detached Single Family,Bungalow,Nw,Athlone,Edmonton,Alberta,T5L 1L2
4 Bedrooms 2 Bathrooms Bungalow,389800.0,4,2,0,742.0,0.13,1949,Single Family,Residential Detached Single Family,Bungalow,11242 72 Avenue Nw,Mckernan,Edmonton,Alberta,T6G 0B5
3 Bedrooms 2 Bathrooms Bungalow,374900.0,3,2,0,1001.0,0.15,1956,Single Family,Residential Detached Single Family,Bungalow,12449 134 Street Nw,Dovercourt,Edmonton,Alberta,T5L 1V3
4 Bedrooms 3 Bathrooms Bungalow,348500.0,4,3,0,1064.0,0.0,1971,Single Family,Residential Detached Single Family,Bungalow,14616 96 Street Nw,Evansdale,Edmonton,Alberta,T5E 4B7
4 Bedrooms 2 Bathrooms Raised Bungalow,399999.0,4,2,6,837.0,0.1,1946,Single Family,Residential Detached Single Family,Raised Bungalow,10457 77 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1M8
2 Bedrooms 1 Bathrooms Bungalow,169800.0,2,1,0,812.0,0.11,1942,Single Family,Residential Detached Single Family,Bungalow,11531 101 Street Nw,Spruce Avenue,Edmonton,Alberta,T5G 2B2
5 Bedrooms 4 Bathrooms Bungalow,499000.0,5,4,0,1223.0,0.14,1954,Single Family,Residential Detached Single Family,Bungalow,11304 72 Avenue Nw,Mckernan,Edmonton,Alberta,T6G 0B6
4 Bedrooms 2 Bathrooms Bungalow,308000.0,4,2,0,1313.0,0.16,1949,Single Family,Residential Detached Single Family,Bungalow,12105 101 Street Nw,Westwood,Edmonton,Alberta,T5G 2C2
4 Bedrooms 2 Bathrooms Bungalow,459000.0,4,2,4,1101.0,0.15,1955,Single Family,Residential Detached Single Family,Bungalow,8948 146a Street Nw,Parkview,Edmonton,Alberta,T5R 0X1
2 Bedrooms 2 Bathrooms Bungalow,799000.0,2,2,4,954.0,0.0,1945,Single Family,Residential Detached Single Family,Bungalow,9906 87 Street Nw,Riverdale,Edmonton,Alberta,T5H 1N3
4 Bedrooms 2 Bathrooms Bungalow,360000.0,4,2,0,958.0,0.0,1951,Single Family,Residential Detached Single Family,Bungalow,7715 82 Avenue Nw,King Edward Park,Edmonton,Alberta,T6C 0X8
5 Bedrooms 2 Bathrooms Bungalow,439999.0,5,2,0,1072.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,12319 137 Avenue Nw,Kensington,Edmonton,Alberta,T5L 4C1
4 Bedrooms 2 Bathrooms Bungalow,395000.0,4,2,0,1026.0,0.12,1962,Single Family,Residential Detached Single Family,Bungalow,15620 79a Avenue Nw,Lynnwood,Edmonton,Alberta,T5R 3H7
3 Bedrooms 2 Bathrooms Bungalow,349900.0,3,2,4,1036.0,0.14,1960,Single Family,Residential Detached Single Family,Bungalow,13320 106 Street Nw,Rosslyn,Edmonton,Alberta,T5E 4T6
3 Bedrooms 2 Bathrooms Bungalow,259900.0,3,2,0,920.0,0.0,1964,Single Family,Residential Detached Single Family,Bungalow,13040 72 Street Nw,Balwin,Edmonton,Alberta,T5C 0P9
2 Bedrooms 2 Bathrooms Raised Bungalow,269000.0,2,2,3,678.0,0.14,1955,Single Family,Residential Detached Single Family,Raised Bungalow,4206 113 Avenue Nw,Beverly Heights,Edmonton,Alberta,T5W 0R5
3 Bedrooms 2 Bathrooms Raised Bungalow,189900.0,3,2,0,872.0,0.14,1957,Single Family,Residential Detached Single Family,Raised Bungalow,11827 43 Street Nw,Beacon Heights,Edmonton,Alberta,T5W 2P3
3 Bedrooms 3 Bathrooms Bungalow,435000.0,3,3,2,1018.0,0.15,1954,Single Family,Residential Detached Single Family,Bungalow,9555 87 Street Nw,Strathearn,Edmonton,Alberta,T6C 3H9
1 Bedrooms 1 Bathrooms Bungalow,159000.0,1,1,0,476.0,0.09,1946,Single Family,Residential Detached Single Family,Bungalow,11438 95 Street Nw,Alberta Avenue,Edmonton,Alberta,T5G 1L4
4 Bedrooms 3 Bathrooms Bungalow,869000.0,4,3,0,1367.0,0.0,1962,Single Family,Residential Detached Single Family,Bungalow,10620 Rowland Road Nw,Forest Heights,Edmonton,Alberta,T6A 3V8
3 Bedrooms 3 Bathrooms Bungalow,435000.0,3,3,0,803.0,0.1,1949,Single Family,Residential Detached Single Family,Bungalow,10635 72 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 0Z8
2 Bedrooms 2 Bathrooms Bungalow,649700.0,2,2,4,1390.0,0.14,1960,Single Family,Residential Detached Single Family,Bungalow,3634 Ada Boulevard Nw,Beverly Heights,Edmonton,Alberta,T5W 4M3
2 Bedrooms 1 Bathrooms Bungalow,229900.0,2,1,0,943.0,0.0,1926,Single Family,Residential Detached Single Family,Bungalow,11215 123 Street Nw,Inglewood,Edmonton,Alberta,T5M 0E8
5 Bedrooms 2 Bathrooms Bungalow,400000.0,5,2,2,1081.0,0.0,1972,Single Family,Residential Detached Single Family,Bungalow,8843 93 Street Nw,Bonnie Doon,Edmonton,Alberta,T6C 3T2
3 Bedrooms 1 Bathrooms Bungalow,485000.0,3,1,3,1146.0,0.15,1957,Single Family,Residential Detached Single Family,Bungalow,8008 145 Street Nw Nw,Laurier Heights,Edmonton,Alberta,T5R 0S9
2 Bedrooms 2 Bathrooms Bungalow,339000.0,2,2,4,1020.0,0.16,1958,Single Family,Residential Detached Single Family,Bungalow,10503 40 Street Nw Nw,Gold Bar,Edmonton,Alberta,T6A 1S9
3 Bedrooms 1 Bathrooms Bungalow,479900.0,3,1,0,1018.0,0.14,1931,Single Family,Residential Detached Single Family,Bungalow,9702 83 Avenue Nw,Strathcona,Edmonton,Alberta,T6E 2B5
2 Bedrooms 1 Bathrooms Bungalow,529900.0,2,1,0,951.0,0.0,1949,Single Family,Residential Detached Single Family,Bungalow,10335 135 Street Nw,Glenora,Edmonton,Alberta,T5N 2C4
4 Bedrooms 2 Bathrooms Bungalow,185000.0,4,2,2,672.0,0.17,1945,Single Family,Residential Detached Single Family,Bungalow,12138 88 Street Nw,Eastwood,Edmonton,Alberta,T5B 3S6
4 Bedrooms 2 Bathrooms Bungalow,285000.0,4,2,0,868.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,12427 75 Street Nw,Elmwood Park,Edmonton,Alberta,T5B 2C1
3 Bedrooms 1 Bathrooms Bungalow,314900.0,3,1,0,1604.0,0.0,1966,Single Family,Residential Detached Single Family,Bungalow,16111 110a Avenue Nw Nw,Mayfield,Edmonton,Alberta,T5P 1J2
3 Bedrooms 1 Bathrooms Bungalow,399990.0,3,1,0,1104.0,0.14,1955,Single Family,Residential Detached Single Family,Bungalow,7928 89 Avenue Nw,Idylwylde,Edmonton,Alberta,T6C 1N5
4 Bedrooms 2 Bathrooms Bungalow,295000.0,4,2,0,1130.0,0.0,1961,Single Family,Residential Detached Single Family,Bungalow,12204 130 Avenue Nw,Calder,Edmonton,Alberta,T5L 3K6
5 Bedrooms 2 Bathrooms Bungalow,399000.0,5,2,8,1094.0,0.14,1965,Single Family,Residential Detached Single Family,Bungalow,13536 70 Street Nw,Delwood,Edmonton,Alberta,T5C 0K7
4 Bedrooms 2 Bathrooms Bungalow,387000.0,4,2,0,961.0,0.13,1955,Single Family,Residential Detached Single Family,Bungalow,7503 78 Avenue Nw,King Edward Park,Edmonton,Alberta,T6C 0M6
5 Bedrooms 2 Bathrooms Bungalow,438000.0,5,2,0,1055.0,0.14,1959,Single Family,Residential Detached Single Family,Bungalow,13456 107 Street Nw,Rosslyn,Edmonton,Alberta,T5E 4W2
2 Bedrooms 2 Bathrooms Bungalow,310000.0,2,2,0,724.0,0.1,1949,Single Family,Residential Detached Single Family,Bungalow,10745 71 Avenue Nw Nw,Queen Alexandra,Edmonton,Alberta,T6E 0X5
3 Bedrooms 3 Bathrooms Bungalow,519888.0,3,3,4,1327.0,0.0,1957,Single Family,Residential Detached Single Family,Bungalow,14516 87 Avenue Nw,Parkview,Edmonton,Alberta,T5R 4E4
6 Bedrooms 2 Bathrooms Bungalow,519900.0,6,2,3,1210.0,0.12,1958,Single Family,Residential Detached Single Family,Bungalow,10410 83 Street Nw,Forest Heights,Edmonton,Alberta,T6A 3P3
2 Bedrooms 1 Bathrooms Bungalow,190000.0,2,1,0,715.0,0.0,1960,Single Family,Residential Detached Single Family,Bungalow,9947 161 Street Nw,Glenwood,Edmonton,Alberta,T5P 3H6
2 Bedrooms 1 Bathrooms Bungalow,178816.0,2,1,2,576.0,0.13,1944,Single Family,Residential Detached Single Family,Bungalow,11720 87 Street Nw,Parkdale,Edmonton,Alberta,T5B 3M7
3 Bedrooms 2 Bathrooms Bungalow,220000.0,3,2,0,802.0,0.15,1951,Single Family,Residential Detached Single Family,Bungalow,5105 118 Avenue Nw,Highlands,Edmonton,Alberta,T5W 1C1
3 Bedrooms 1 Bathrooms Bungalow,335000.0,3,1,0,903.0,0.13,1955,Single Family,Residential Detached Single Family,Bungalow,8731 64 Avenue Nw,Argyll,Edmonton,Alberta,T6E 0H4
4 Bedrooms 3 Bathrooms Bungalow,334900.0,4,3,4,1141.0,0.12,1973,Single Family,Residential Detached Single Family,Bungalow,14519 117 Street Nw Nw,Caernarvon,Edmonton,Alberta,T5X 1J9
4 Bedrooms 3 Bathrooms Bungalow,359000.0,4,3,0,1119.0,0.12,1977,Single Family,Residential Detached Single Family,Bungalow,11703 138 Avenue Nw,Carlisle,Edmonton,Alberta,T5X 3P5
4 Bedrooms 1 Bathrooms Bungalow,328900.0,4,1,0,952.0,0.0,1955,Single Family,Residential Detached Single Family,Bungalow,8943 149 Street Nw,Parkview,Edmonton,Alberta,T5R 1B7
4 Bedrooms 2 Bathrooms Bungalow,549900.0,4,2,0,1267.0,0.16,1955,Single Family,Residential Detached Single Family,Bungalow,9260 148 Street Nw,Parkview,Edmonton,Alberta,T5R 1A3
4 Bedrooms 2 Bathrooms Bungalow,530000.0,4,2,1,780.0,0.15,1949,Single Family,Residential Detached Single Family,Bungalow,9224 94 Street Nw Nw,Bonnie Doon,Edmonton,Alberta,T6C 3V5
3 Bedrooms 3 Bathrooms Bungalow,650000.0,3,3,0,1530.0,0.0,2022,Single Family,Residential Detached Single Family,Bungalow,12007 132 Avenue Nw,Calder,Edmonton,Alberta,T5E 1B1
1 Bedrooms 2 Bathrooms Bungalow,209900.0,1,2,4,507.0,0.13,1944,Single Family,Residential Detached Single Family,Bungalow,12909 69 Street Nw,Balwin,Edmonton,Alberta,T5C 0H3
4 Bedrooms 2 Bathrooms Bungalow,489900.0,4,2,4,1311.0,0.14,1962,Single Family,Residential Detached Single Family,Bungalow,11328 53 Avenue Nw,Lendrum Place,Edmonton,Alberta,T6H 0S5
4 Bedrooms 3 Bathrooms Bungalow,309900.0,4,3,0,1150.0,0.09,1989,Single Family,Residential Detached Single Family,Bungalow,11508 66 Street Nw,Highlands,Edmonton,Alberta,T5B 1H9
3 Bedrooms 2 Bathrooms Bungalow,374900.0,3,2,5,1056.0,0.14,1968,Single Family,Residential Detached Single Family,Bungalow,14415 63 Street Nw,Mcleod,Edmonton,Alberta,T5A 2B7
3 Bedrooms 1 Bathrooms Bungalow,170000.0,3,1,2,675.0,0.09,1949,Single Family,Residential Detached Single Family,Bungalow,11403 84 Street Nw Nw,Parkdale,Edmonton,Alberta,T5B 3B5
5 Bedrooms 2 Bathrooms Bungalow,349999.0,5,2,4,1083.0,0.12,1958,Single Family,Residential Detached Single Family,Bungalow,9411 149 Street Nw,Parkview,Edmonton,Alberta,T5R 1C5
5 Bedrooms 3 Bathrooms Bungalow,480250.0,5,3,0,1072.0,0.14,1965,Single Family,Residential Detached Single Family,Bungalow,13207 70a Street Nw,Delwood,Edmonton,Alberta,T5C 0L6
2 Bedrooms 2 Bathrooms Bungalow,499000.0,2,2,0,1832.0,0.17,1994,Single Family,Residential Detached Single Family,Bungalow,9624 154 Street Nw,West Jasper Place,Edmonton,Alberta,T5P 2G1
2 Bedrooms 1 Bathrooms Bungalow,479000.0,2,1,0,815.0,0.1,1930,Single Family,Residential Detached Single Family,Bungalow,11049 85 Avenue Nw,Garneau,Edmonton,Alberta,T6G 0W5
2 Bedrooms 1 Bathrooms Bungalow,260000.0,2,1,0,759.0,0.17,1945,Single Family,Residential Detached Single Family,Bungalow,11847 83 Street Nw,Eastwood,Edmonton,Alberta,T5B 2Z4
2 Bedrooms 1 Bathrooms Bungalow,599900.0,2,1,1,868.0,0.16,1950,Single Family,Residential Detached Single Family,Bungalow,8210 93 Street Nw,Bonnie Doon,Edmonton,Alberta,T6C 3S7
4 Bedrooms 2 Bathrooms Bungalow,314000.0,4,2,0,969.0,0.18,1954,Single Family,Residential Detached Single Family,Bungalow,14032 121 Avenue Nw Nw,Dovercourt,Edmonton,Alberta,T5L 2S9
2 Bedrooms 2 Bathrooms Bungalow,229900.0,2,2,0,652.0,0.09,1942,Single Family,Residential Detached Single Family,Bungalow,11946 65 Street Nw,Montrose,Edmonton,Alberta,T5W 4L4
3 Bedrooms 2 Bathrooms Raised Bungalow,334500.0,3,2,0,929.0,0.18,1950,Single Family,Residential Detached Single Family,Raised Bungalow,11306 110 Avenue Nw,Queen Mary Park,Edmonton,Alberta,T5H 1J3
4 Bedrooms 4 Bathrooms Bungalow,1295000.0,4,4,0,1526.0,0.0,2023,Single Family,Residential Detached Single Family,Bungalow,12445 Lansdowne Drive Nw,Lansdowne,Edmonton,Alberta,T6H 4L5
3 Bedrooms 2 Bathrooms Bungalow,259000.0,3,2,0,1020.0,0.14,1955,Single Family,Residential Detached Single Family,Bungalow,10936 157 Street Nw,Mayfield,Edmonton,Alberta,T5P 2W3
